src_ip_entropy,port_entropy,all_pkt_num,tcp_num,tcp_rate,icmp_num,icmp_rate,udp_num,udp_rate,all_pkt_bytes,avg_pkt_bytes
0.6229837106687361,470.81640034635564,41,6,0.14634146341463414,0,0.0,35,0.8536585365853658,3686,89.90243902439025
1.224438213729031,4293.084603541504,250,5,0.02,6,0.024,239,0.956,23036,92.144
1.2176145623983499,1174.5081963451728,85,0,0.0,6,0.07058823529411765,79,0.9294117647058824,7988,93.97647058823529
1.3789325374507277,1936.5125588892586,135,10,0.07407407407407407,0,0.0,125,0.9259259259259259,63878,473.1703703703704
1.3709505944546687,28.253496664211536,10,0,0.0,0,0.0,10,1.0,810,81.0
-0.0,2.0,1,1,1.0,0,0.0,0,0.0,66,66.0
1.0674624160750996,5119.527948595923,286,8,0.027972027972027972,0,0.0,278,0.972027972027972,290280,1014.965034965035
0.24988229283318547,616.9864750677884,48,0,0.0,0,0.0,48,1.0,48114,1002.375
1.7185134814391203,257.06046245562334,34,1,0.029411764705882353,13,0.38235294117647056,20,0.5882352941176471,28576,840.4705882352941
1.3709505944546687,28.253496664211536,10,0,0.0,0,0.0,10,1.0,830,83.0
1.0156917628915558,60.641865047619575,1686,6,0.0035587188612099642,0,0.0,1680,0.99644128113879,155006,91.93712930011863
0.983952670009286,28.09300493661692,7521,15,0.001994415636218588,0,0.0,7506,0.9980055843637814,691542,91.94814519345832
1.1320479325147623,20.81320978446523,1662,42,0.02527075812274368,0,0.0,1620,0.9747292418772563,151812,91.34296028880867
1.7574839898128798,33.61724056981075,17,8,0.47058823529411764,0,0.0,9,0.5294117647058824,1269,74.6470588235294
-0.0,2.0,30,30,1.0,0,0.0,0,0.0,1980,66.0
-0.0,5.0,2,2,1.0,0,0.0,0,0.0,184,92.0
1.09292945571142,61.8085816341634,815,16,0.0196319018404908,0,0.0,799,0.9803680981595092,434114,532.6552147239264
0.07458836791413748,113.39230018899293,3075,0,0.0,0,0.0,3075,1.0,1662040,540.5008130081301
-0.0,2.0,77,0,0.0,0,0.0,77,1.0,41734,542.0
-0.0,2.0,20,20,1.0,0,0.0,0,0.0,1416,70.8
1.4355205042826666,23.019550008653876,9,0,0.0,0,0.0,9,1.0,749,83.22222222222223
0.3665570270704311,44.67696548333326,437,31,0.07093821510297482,0,0.0,406,0.9290617848970252,426472,975.908466819222
-0.0,2.0,23,0,0.0,0,0.0,23,1.0,23966,1042.0
1.0,2.0,4,4,1.0,0,0.0,0,0.0,352,88.0
0.9182958340544896,5.169925001442312,3,3,1.0,0,0.0,0,0.0,311,103.66666666666667
1.2445865715199576,5666.768807567494,320,3,0.009375,13,0.040625,304,0.95,29814,93.16875
1.1147096626997186,7100.63489780687,381,0,0.0,4,0.010498687664041995,377,0.989501312335958,35124,92.18897637795276
1.1101915040204715,3184.436125266839,192,3,0.015625,3,0.015625,186,0.96875,17769,92.546875
1.4949188482339508,12.805304996856814,11,9,0.8181818181818182,0,0.0,2,0.18181818181818182,970,88.18181818181819
1.279798638034158,12.100823251292358,31,29,0.9354838709677419,0,0.0,2,0.06451612903225806,7819,252.2258064516129
1.228789740397119,24.591718566439546,40,36,0.9,2,0.05,2,0.05,7571,189.275
1.1037902049484176,27.77556354532163,60,57,0.95,1,0.016666666666666666,2,0.03333333333333333,9833,163.88333333333333
0.9999001572094884,2.0,85,85,1.0,0,0.0,0,0.0,13496,158.7764705882353
1.6600926801641034,264.5128815690431,87,71,0.8160919540229885,0,0.0,16,0.1839080459770115,18708,215.0344827586207
1.0841324317437715,617.2080287882693,57,0,0.0,12,0.21052631578947367,45,0.7894736842105263,31230,547.8947368421053
0.7990485210442682,398.93001187765816,33,0,0.0,0,0.0,33,1.0,17886,542.0
1.3437625510938194,368.6191763828647,255,234,0.9176470588235294,2,0.00784313725490196,19,0.07450980392156863,54766,214.7686274509804
1.1139638659779845,43.09240922049629,168,163,0.9702380952380952,1,0.005952380952380952,4,0.023809523809523808,27030,160.89285714285714
1.0600260988295016,20.111427045501017,183,181,0.9890710382513661,0,0.0,2,0.01092896174863388,28284,154.55737704918033
0.9989669987582559,5.0000421538675806,185,185,1.0,0,0.0,0,0.0,29576,159.87027027027028
1.2306127279194037,110.55800534729342,170,165,0.9705882352941176,0,0.0,5,0.029411764705882353,27628,162.51764705882354
2.098223527507561,317.4815319171261,59,34,0.576271186440678,2,0.03389830508474576,23,0.3898305084745763,37950,643.2203389830509
0.9182958340544896,8.339850002884624,3,0,0.0,1,0.3333333333333333,2,0.6666666666666666,277,92.33333333333333
-0.0,2.0,2,0,0.0,0,0.0,2,1.0,162,81.0
1.5566567074628228,12.129884014679504,7,5,0.7142857142857143,0,0.0,2,0.2857142857142857,630,90.0
1.0,19.638624113892615,78,78,1.0,0,0.0,0,0.0,12209,156.52564102564102
1.0712866651299495,53.88687720054013,198,194,0.9797979797979798,2,0.010101010101010102,2,0.010101010101010102,29901,151.0151515151515
1.9297428626013768,102.78972672295154,402,130,0.32338308457711445,5,0.012437810945273632,267,0.664179104477612,44109,109.72388059701493
1.4390652124856949,47.73446992512139,347,32,0.09221902017291066,2,0.005763688760806916,313,0.9020172910662824,38651,111.38616714697406
0.9234559626335355,24.362838429517957,254,0,0.0,0,0.0,254,1.0,23346,91.91338582677166
1.1664616437886164,28.195249771027946,128,4,0.03125,0,0.0,124,0.96875,14442,112.828125
0.863120568566631,10.907491593343055,7,0,0.0,5,0.7142857142857143,2,0.2857142857142857,784,112.0
