label,src_ip_entropy,port_entropy,all_pkt_num,tcp_num,tcp_rate,icmp_num,icmp_rate,udp_num,udp_rate,all_pkt_bytes,ave
0.0,0.16930240727873552,0.10000000149011612,0.10013440407064562,0.10017919690271351,1.0,0.10000000149011612,0.0,0.10000000149011612,0.0,0.10000999924656365,0.12019223750549221
1.0,0.03203500265249559,0.0,0.0,0.0,0.8718309844253769,0.0,0.10000000149011612,0.0,0.12816901557462312,0.0,0.0
0.0,0.10000000149011612,0.10000000149011612,0.10340486686353122,0.10000000149011612,0.0,0.10000000149011612,0.0,0.10389400371526022,0.8999999985098839,0.10145659769870112,0.447594921469092
0.0,0.189346332672784,0.10013877905378472,0.10255365052017743,0.10241913956018152,0.8310344812685047,0.10025569057219222,0.0,0.10010114440505492,0.0,0.10040837138808792,0.2028013607112555
0.0,0.1931259790895703,0.10127951346847072,0.11137941997495102,0.11048293312706611,0.8176470573334133,0.10025569057219222,0.0,0.10096085918203472,0.0,0.10191215980368051,0.211611596249617
0.0,0.23584461281786262,0.10023370233272792,0.10291205740158962,0.10161276020349302,0.4454545439644293,0.10089491327738272,0.006932897895613285,0.10116314501191231,0.2484848469947324,0.10113562077666922,0.4124114799271486
0.0,0.2337358244218087,0.10035176067497233,0.11796514642089873,0.10582385239953282,0.22338308308699828,0.10063922419530652,0.0,0.11350258063444701,0.5641791029874959,0.10153962102584402,0.13585844194066293
1.0,0.3584153043007321,0.0,0.0,0.0,0.8999999985098839,0.0,0.10000000149011612,0.0,0.10000000149011612,0.0,0.0
0.0,0.20360147413148091,0.10003771233031182,0.10044801009188122,0.10040319116846032,0.9181818196719344,0.10000000149011612,0.0,0.10010114440505492,0.08181818032806568,0.10003160279021597,0.12032335592117652
1.0,0.3142398772804433,0.0,0.0,0.0,0.8999999985098839,0.0,0.10000000149011612,0.0,0.10000000149011612,0.0,0.0
0.0,0.1808385996648148,0.10009142370154736,0.10568971073253353,0.10017919690271351,0.0,0.10000000149011612,0.0,0.10627086221632222,0.8687499985098839,0.10050254605896072,0.1380970717847516
0.0,0.1692429530214583,0.1000104955856072,0.10255365052017743,0.10259833497277893,1.0,0.10000000149011612,0.0,0.10000000149011612,0.0,0.10031052621222562,0.1679995943276114
0.0,0.20896775450313854,0.10008440430778896,0.10089601869364642,0.10017919690271351,0.29047619196630653,0.10012784603115411,0.0,0.10080914480962652,0.6619047604146457,0.10061224172236041,0.6604375725291289
1.0,0.3499010361118275,0.0,0.0,0.0,0.8999999985098839,0.0,0.10000000149011612,0.0,0.10000000149011612,0.0,0.0
1.0,0.34651148313233826,0.0,0.0,0.0,0.8999999985098839,0.0,0.10000000149011612,0.0,0.10000000149011612,0.0,0.0
0.0,0.17513298720342563,0.10214709605778392,0.10250884966000091,0.10000000149011612,0.0,0.10153413598257321,0.11225778375674547,0.10227571707623923,0.6894736827204102,0.10108940737099222,0.4518459185249607
1.0,0.33686716992254045,0.0,0.0,0.0,0.8999999985098839,0.0,0.10000000149011612,0.0,0.10000000149011612,0.0,0.0
0.0,0.15537598634032213,0.10138529919815392,0.10143362901576453,0.10000000149011612,0.0,0.10000000149011612,0.0,0.10166885958660642,0.8999999985098839,0.10062293862261552,0.447594921469092
0.0,0.23319424221854831,0.10006719677392567,0.10040320923170472,0.10017919690271351,0.2999999985098839,0.10025569057219222,0.10164489449440248,0.10020228731999371,0.2999999985098839,0.10003062398888544,0.12466337548032562
0.0,0.18280594260569122,0.10008688923532322,0.10412168062635552,0.10367350744836352,0.981720431597643,0.10000000149011612,0.0,0.10055628752227952,0.018279568402356977,0.10061923316043563,0.1946026433440291
0.0,0.10000000149011612,0.10000000149011612,0.10098562041399942,0.10000000149011612,0.0,0.10000000149011612,0.0,0.10116314501191231,0.8999999985098839,0.10083547834010131,0.8081705646008098
0.0,0.2240463926000979,0.10008407802805734,0.10044801009188122,0.10026879460901222,0.6454545469446615,0.10012784603115411,0.0,0.10020228731999371,0.26363636214624747,0.10003058903169508,0.11842213889375472
0.0,0.22796269021857932,0.10008260538790202,0.10040320923170472,0.10022399575586281,0.6000000014901161,0.10012784603115411,0.0008224465021431787,0.10020228731999371,0.2999999985098839,0.10002842168589177,0.12012012237686592
1.0,0.7556047003096918,0.13337833639566107,0.13318847572864648,0.13322282800544877,0.8999999985098839,0.0,0.10000000149011612,0.0,0.10000000149011612,0.0,0.0
1.0,0.11198315996948238,0.0,0.0,0.0,0.9703703718604865,0.0,0.10000000149011612,0.0,0.17407407556419013,0.0,0.03304573349876308
0.0,0.19007952877941053,0.10004514661963321,0.10120962471488201,0.10116477167199942,0.8285714270813125,0.10000000149011612,0.0,0.10010114440505492,0.0,0.10014475921546293,0.1650839050753911
0.0,0.21504841805756553,0.10091617936098991,0.10385287546529642,0.10318072006372062,0.9160919555131046,0.10000000149011612,0.0,0.10080914480962652,0.08390804448689537,0.10065167343310452,0.21180331814668182
1.0,0.8999999985098839,0.8999999985098839,0.8999999985098839,0.8999999985098839,0.8999999985098839,0.0,0.10000000149011612,0.0,0.10000000149011612,0.0,0.0
0.0,0.17424274467288864,0.10018108825582352,0.10882577094488963,0.10869097900109181,0.8797979783078637,0.10025569057219222,0.0,0.10010114440505492,0.0,0.10104294926498252,0.16563569507472903
0.0,0.19468889428699093,0.10004051265225725,0.10067201439276383,0.10062718543420712,0.9750000014901161,0.10000000149011612,0.0,0.10010114440505492,0.02499999850988388,0.10011217911403252,0.2043415782213569
